Path,Genre
dataset/lmd_matched\A\A\A\TRAAAGR128F425B14B/1d9d16a9da90c090809c153754823c2b.mid,Pop
dataset/lmd_matched\A\A\A\TRAAAGR128F425B14B/5dd29e99ed7bd3cc0c5177a6e9de22ea.mid,Pop
dataset/lmd_matched\A\A\A\TRAAAGR128F425B14B/b97c529ab9ef783a849b896816001748.mid,Pop
dataset/lmd_matched\A\A\A\TRAAAGR128F425B14B/dac3cdd0db6341d8dc14641e44ed0d44.mid,Pop
dataset/lmd_matched\A\A\B\TRAABVM128F92CA9DC/0dd4d2b9fbcf96a0fa363a1918255e58.mid,Rock
dataset/lmd_matched\A\A\B\TRAABVM128F92CA9DC/39d6c288e1bd93d4705e7a86555347da.mid,Rock
dataset/lmd_matched\A\A\B\TRAABVM128F92CA9DC/59a78b8268b8e3a14210ef68dff1b604.mid,Rock
dataset/lmd_matched\A\A\B\TRAABVM128F92CA9DC/65acb795990699cb8d767858dfe34e69.mid,Rock
dataset/lmd_matched\A\A\B\TRAABVM128F92CA9DC/9cbeabb5f08aa5102af322e63e760426.mid,Rock
dataset/lmd_matched\A\A\G\TRAAGMC128F4292D0F/0644195d1a3d14e0a0bd3d8b30dc68da.mid,Country
dataset/lmd_matched\A\A\G\TRAAGMC128F4292D0F/1fecb8a2e5e9df4df423793909d52d33.mid,Country
dataset/lmd_matched\A\A\G\TRAAGMC128F4292D0F/3bcef98aa322c4a083efe43a962768d8.mid,Country
dataset/lmd_matched\A\A\G\TRAAGMC128F4292D0F/52b6febfe8da6bb7c2653aa7e982297f.mid,Country
dataset/lmd_matched\A\A\G\TRAAGMC128F4292D0F/7c2e695d0593d35ca3b0913549754f18.mid,Country
dataset/lmd_matched\A\A\N\TRAANZE128F148BF55/0597bf18743a5aacfedc981eb58c9da9.mid,Pop
dataset/lmd_matched\A\A\N\TRAANZE128F148BF55/57d11af9bfa6fd994bdbf49c7810f8b2.mid,Pop
dataset/lmd_matched\A\A\N\TRAANZE128F148BF55/57d2cdba98bb3730ae8a3ac76e96cb71.mid,Pop
dataset/lmd_matched\A\A\N\TRAANZE128F148BF55/5dd9a1111794b80ef271ee9e8a0f7f01.mid,Pop
dataset/lmd_matched\A\A\N\TRAANZE128F148BF55/80734565854179a97770db8c44b4ab14.mid,Pop
dataset/lmd_matched\A\A\N\TRAANZE128F148BF55/bcb22f23d63b673cfced0e3a2189366e.mid,Pop
dataset/lmd_matched\A\A\N\TRAANZE128F148BF55/ff66ddfef7865f20dacfd4401575770e.mid,Pop
dataset/lmd_matched\A\A\P\TRAAPPQ128F14961F5/d39a20f33af4fb6b307529db8cf0cc3f.mid,Rock
dataset/lmd_matched\A\A\P\TRAAPPQ128F14961F5/fdabd9ad4a9ef0f666b2cae27d8c4775.mid,Rock
dataset/lmd_matched\A\A\R\TRAARCW12903CEB779/11abc85947426364526304940e4bd3d1.mid,Jazz
dataset/lmd_matched\A\A\R\TRAARCW12903CEB779/f9b1f4b243c7070cd15bb697c8b0ca03.mid,Jazz
dataset/lmd_matched\A\A\Z\TRAAZVF128F145BFED/091b81393cf69d05a2c3755062460498.mid,Rock
dataset/lmd_matched\A\A\Z\TRAAZVF128F145BFED/95a8421e7f6c99aaac3304f3a5d3f8fd.mid,Rock
dataset/lmd_matched\A\A\Z\TRAAZVG128F425A9BD/632225ed5681dcb64a41cf6089f32147.mid,Pop
dataset/lmd_matched\A\A\Z\TRAAZVG128F425A9BD/a60be1872bb125e74e05dd2a412f44e8.mid,Pop
dataset/lmd_matched\A\B\A\TRABAFJ128F42AF24E/9f23c96d46ded0be0705e17c8b52f52b.mid,Pop
dataset/lmd_matched\A\B\A\TRABAYJ128F92E34EC/3056c10a32eae29dc187cb8c742ecbb7.mid,RnB
dataset/lmd_matched\A\B\A\TRABAYJ128F92E34EC/da3500d41e5eb86a1f46698b01dc3d1e.mid,RnB
dataset/lmd_matched\A\B\A\TRABAYJ128F92E34EC/edf706152a35a7298f90684430915b47.mid,RnB
dataset/lmd_matched\A\B\B\TRABBFC128F428DFC5/5ddbfe0dfef34c6bb483f50edcb0f5c2.mid,Pop
dataset/lmd_matched\A\B\B\TRABBFC128F428DFC5/86b52cb03939ebcdc478e69a9c9e67f6.mid,Pop
dataset/lmd_matched\A\B\B\TRABBFC128F428DFC5/91aa879360ae13c6c7983970dd6eeb95.mid,Pop
dataset/lmd_matched\A\B\B\TRABBFC128F428DFC5/978bf0a75e7868e3bf825bb2d6dae6aa.mid,Pop
